English,Navajo
Algiers,Táłkááʼ Dahndaaʼeeł
Amsterdam,Tóígeed Łání
Athens,Tsékʼi Ííyah Daniiʼáii
Baku,Kinłánítah Naayolí
Bloemfontein,Chxǫǫh Biiʼ Tóháálį́
Bucharest,Chéchʼiltó
Buenos Aires,Níłchʼi Yáʼádaatʼéehii
Cape Town,Taahííʼą́ągi Kin Haalʼá
Casablanca,Kin Łigaaí
Chicago,Shikááʼgóó
Chihuahua,Aʼą́ą́łání
Ciudad Juarez,Shádiʼááhjí Tsé Taahiʼáhí
Copenhagen,Baandaʼiniihii Bitsinaaʼeeł Báhazʼání
Dar es Salaam,Hózhǫ́ǫ́jí Kin Haalʼá
Denver,Kʼįįshzhíníńlį́
Guatemala City,Tsinłánítah Kin Haalʼá
Helsinki,Tótsʼózí Adahiilíní
Hong Kong,Shádiʼááhjí Tsiiʼyishbizhí Bikin Haalʼá
Khartoum,Ahidiilíinii
Kiev,Tsinaaʼeełíkʼeh
London,Tooh Dineʼé Bikin Haalʼá
Long Beach,Tábąąh Hóneezí
Los Angeles,Ahééháshį́į́h
Managua,Tábąąh Kin Haalʼá
Mexicali,Tsézhiintóńlį́
Mexico City,Naakaii Bikin Haalʼá
Nairobi,Tó Sikʼaz
New York,Kin Yótʼááh Deezʼá
Nouakchott,Níyoltah
Oslo,Tsį́į́haltsooí
Ottawa,Tótsoh Nílį́
Rabat,Tábąąhgóó Bineʼ Naʼadziʼii
Reykjavík,Siil Nástłʼah
Seattle,Béésh Yótʼááh Ííʼáhí
Tehran,Dziłtsį́į́kʼeh
Tbilisi,Tó Sido
Vilnius,Tó Doolkʼoolí
Windhoek,Nástłʼah Biiʼ Naayolí
Yerevan,Hókʼą́ą́sʼání
Zagreb,Shashdziil Bitsį́į́ʼí
