English,Navajo
Andorra,Andówa
Angola,Angóola
Brunei,Bwoonéí
Chile,Chíilii
Colombia,Kolámbiya
Congo,Káango
Democratic Republic of the Congo,Kéyah Káango Shádiʼááhjí Siʼánígíí
Djibouti,Jibótii
Dominica,Damóo Bikéyah
East Timor,Haʼaʼaahjí Tíímow
Equatorial Guinea,Gíní Nahasdzáán Ałníiʼgi Siʼánígíí
Ethiopia,Iithiyópya
Gabon,Gabǫ́ǫ́
Gambia,Géémbiya
Ghana,Gáana
Guinea,Gíní
Guinea Bissau,Gíní Bisó
Haiti,Héítii
Israel,Ízrel Bikéyah
Jamaica,Jaméík’a
Kiribati,Kílíbas
Kuwait,Kóóweiʼ
Laos,Lááʼos
Lebanon,Łíbanoo
Lesotho,Sotho Dineʼé Bikéyah
Libya,Łíbya
Malawi,Malááwii
Malaysia,Maléízha
Myanmar,Mííanmáa
Palestine,Péléstain
Qatar,Kʼatár
Republic of the Congo,Kéyah Káango Náhookǫsjí Siʼánígíí
Rwanda,Wánda Diné’e Bikéyah
Samoa,Samóa
Seychelles,Seishel
Singapore,Sį́ʼgaboo
Solomon Islands,Sólomon Tó Bináhaazyínígíí
Tajikistan,Tʼajiʼ Bikéyah
Thailand,Tʼáí Bikéyah
Togo,T’óogo
Tonga,Tʼónga
Tuvalu,Tʼoobááloo
Uganda,Yogénda
Vanuatu,Banoʼáátʼoo
Vatican City,Bádikin Sídii
Vietnam,Biʼednam
Western Sahara,Kéyah Sahééwa Eʼeʼaahjí Siʼánígíí
