English,Navajo,ISO
Arabic,Ásáí bizaad,ar
Basque,Dibé Ndeiniłkaadí dineʼé bizaad,eu
Cherokee,Chééwokii dineʼé bizaad,chr
Chinese,Tsiiʼyishbizhí dineʼé bizaad,zh
English,Bilagáana bizaad,en
Finnish,Nahoditsʼǫʼłání dineʼé bizaad,fi
French,Dáághahii bizaad,fr
German,Bééshbichʼahii bizaad,de
Greenlandic,Haʼaʼaahjí Hakʼaz dineʼé bizaad,kl
Icelandic,Tin dineʼé bizaad,is
Inuktitut,Hakʼaz dineʼé bizaad,iu
Italian,Doohatsʼíí Yátiʼ dineʼé Bizaad,it
Japanese,Binááʼádaałtsʼózí dineʼé bizaad,ja
Mongolian,Chʼah Diʼilii bizaad,mn
Montenegrin,Dziłizhin bizaad,cnr
Nahuatl,Méhigo bizaad,nah
Nepali,Dziłgaiitsoh Honeezkʼazii dineʼé bizaad,ne
Ojibwe,Anishinaabe bizaad,oj
Russian,Biʼééʼ Łichííʼí bizaad,ru
sign language,naʼagizhgo haneʼ,-
Spanish,Naakaii bizaad,es
Tagalog,Kéyah Dańlíinii bizaad,tl
Urdu,Eʼeʼaahjí Naakaii Dootłʼizhí bizaad,ur
Ute,Nóódaʼí bizaad,ute
Western Apache,Dziłghą́ʼiʼ bizaad,apw
